wavelength,temp 10 strain 20,temp 20 strain 40,temp 30 strain 60,temp 40 strain 80,temp 50 strain 100,temp 25 strain 500,temp 25 strain 1000,reference temp 25 strain 0
1.559030000E-06,-36.62034509,-35.17339709,-33.6613844,-33.06466464,-32.06440875,-21.12431574,-22.62956757,-26.20073482
1.559030000E-06,-36.52260295,-34.90834305,-33.52096096,-32.69538441,-31.94712677,-20.9744779,-22.28259816,-26.03889118
1.559030000E-06,-36.2447208,-34.8349958,-33.36586649,-32.57543278,-31.76158404,-20.7342446,-22.18511561,-25.77857703
1.559030000E-06,-36.15097471,-34.70821758,-33.3342265,-32.26103003,-31.58659029,-20.50512501,-22.01325071,-25.52973375
1.559030000E-06,-36.11014944,-34.67874727,-33.21010061,-32.12699936,-31.50482213,-20.39648313,-21.97241699,-25.41132868
1.559030000E-06,-35.98588251,-34.6170047,-33.0568665,-32.02837668,-31.36878596,-20.21288709,-21.88473857,-25.21049026
1.559030000E-06,-35.85512266,-34.34582389,-32.9654178,-31.9494991,-31.32486633,-20.15258475,-21.49475193,-25.14425067
1.559030000E-06,-35.70500415,-34.25173584,-32.63136965,-31.90020267,-30.9579903,-19.64555939,-21.35786537,-24.58718602
1.559030000E-06,-35.57048251,-34.19855244,-32.5727679,-31.74927444,-30.91532575,-19.5861635,-21.27870864,-24.52190054
1.559030000E-06,-35.43176768,-34.16513477,-32.52116095,-31.66899779,-30.76129618,-19.36825118,-21.22764578,-24.28155523
1.559030000E-06,-35.3827178,-34.01273354,-32.45975411,-31.63296445,-30.66543805,-19.2307766,-20.99005431,-24.12955577
1.559030000E-06,-35.27259884,-33.92544918,-32.34710552,-31.59755265,-30.6284747,-19.17673163,-20.85164364,-24.06954205
1.559030000E-06,-35.25178923,-33.88907631,-32.26787372,-31.49876818,-30.56590341,-19.08331558,-20.79251149,-23.9653193
1.559030000E-06,-35.20795649,-33.78254144,-32.16856507,-31.43103949,-30.51541127,-19.00639923,-20.61522762,-23.8791343
1.559030000E-06,-35.1641616,-33.71777492,-32.16675815,-31.42133403,-30.49550926,-18.97538359,-20.50509978,-23.84420415
1.559030000E-06,-35.05969476,-33.66389687,-32.11158188,-31.41121628,-30.42618301,-18.86500463,-20.41108387,-23.71934022
1.559030000E-06,-35.02688982,-33.63917671,-32.10993275,-31.21552823,-30.3699048,-18.773676,-20.36664765,-23.61566836
1.559030000E-06,-35.00972559,-33.57313327,-32.01996166,-31.17478939,-30.29096427,-18.64321515,-20.24447205,-23.46712821
1.559030000E-06,-34.94376534,-33.53692906,-31.99135722,-31.14990332,-30.14269893,-18.3954392,-20.17558266,-23.18489596
1.559030000E-06,-34.91401766,-33.52437155,-31.95958877,-31.14301969,-30.08616181,-18.29970995,-20.15085686,-23.0757453
1.559030000E-06,-34.84330399,-33.4494873,-31.89771665,-30.93890876,-30.08148706,-18.2915981,-19.99890912,-23.06645184
1.559030000E-06,-34.77937712,-33.38335434,-31.85843631,-30.85934061,-30.01187526,-18.16796795,-19.86140998,-22.92422492
1.559030000E-06,-34.75459683,-33.34146968,-31.81484054,-30.77982165,-29.95167935,-18.0590673,-19.77177629,-22.79864822
1.559030000E-06,-34.68497378,-33.3036747,-31.74992154,-30.73468129,-29.93608937,-18.030189,-19.68818403,-22.7652159
1.559030000E-06,-34.67442543,-33.26635095,-31.72160253,-30.66029044,-29.86648437,-17.89832134,-19.60276576,-22.61203691
1.559030000E-06,-34.60057616,-33.24748046,-31.66812314,-30.63491201,-29.83341219,-17.83433552,-19.55791779,-22.53751019
1.559030000E-06,-34.54208504,-33.15720177,-31.61369487,-30.62531153,-29.8105859,-17.78900624,-19.33693315,-22.48448987
1.559030000E-06,-34.53970548,-33.13748792,-31.57659866,-30.60836049,-29.75700147,-17.68003818,-19.28717479,-22.35662044
1.559030000E-06,-34.52196218,-33.11003217,-31.564118,-30.58262077,-29.74209892,-17.64896366,-19.21490336,-22.32002869
1.559030000E-06,-34.50586825,-33.09548681,-31.55635647,-30.53849769,-29.68111497,-17.51871567,-19.17488725,-22.16621023
1.559030000E-06,-34.46320107,-33.06839284,-31.53871648,-30.52398128,-29.62616004,-17.39909281,-19.09690472,-22.02479544
1.559030000E-06,-34.44140211,-33.05705336,-31.50787218,-30.51143852,-29.59944668,-17.33954367,-19.06268585,-21.95422524
1.559030000E-06,-34.42693967,-33.02526427,-31.46640304,-30.4963462,-29.59406678,-17.32717256,-18.96212297,-21.93949601
1.559030000E-06,-34.41870488,-32.98579892,-31.44578743,-30.47164986,-29.5463524,-17.21434241,-18.83199263,-21.80470531
1.559030000E-06,-34.38174452,-32.98395056,-31.40934661,-30.45611891,-29.52404376,-17.16021014,-18.82557829,-21.73988089
1.559030000E-06,-34.37347642,-32.95264827,-31.35972364,-30.35845258,-29.50376888,-17.1094905,-18.71089236,-21.67891603
1.559030000E-06,-34.35610834,-32.92334535,-31.34245333,-30.3355193,-29.48693089,-17.06600794,-18.5982758,-21.62644531
1.559030000E-06,-34.35422986,-32.88624389,-31.31083385,-30.30641756,-29.48042134,-17.04860238,-18.44879747,-21.60534407
1.559030000E-06,-34.34969013,-32.85776482,-31.30448335,-30.25683871,-29.47558989,-17.03518807,-18.32827163,-21.58899473
1.559030000E-06,-34.34653717,-32.7906381,-31.2944163,-30.23989903,-29.45911495,-16.98776225,-18.03291268,-21.53093127
1.559030000E-06,-34.34117099,-32.77196307,-31.2913132,-30.2356293,-29.44734843,-16.95267296,-17.94691005,-21.48780349
1.559030000E-06,-34.33359996,-32.74034828,-31.2514998,-30.17785351,-29.40229613,-16.81436971,-17.79211368,-21.3175766
1.559030000E-06,-34.33266172,-32.73374346,-31.23034054,-30.16321385,-29.37840786,-16.73904949,-17.75742688,-21.22483825
1.559030000E-06,-34.32430722,-32.71660739,-31.22873052,-30.1611153,-29.31022058,-16.51951235,-17.6599821,-20.95502984
1.559030000E-06,-34.32360866,-32.71146903,-31.21932561,-30.1517498,-29.30780768,-16.51152813,-17.62817623,-20.94521699
1.559030000E-06,-34.31441914,-32.70105641,-31.19974292,-30.14236999,-29.29997988,-16.48447327,-17.55746122,-20.91179832
1.559030000E-06,-34.31073093,-32.69914575,-31.19233281,-30.11242279,-29.29484254,-16.46592315,-17.5431113,-20.88877692
1.559030000E-06,-34.30998132,-32.69509001,-31.18850556,-30.09392068,-29.25151067,-16.30413746,-17.50906754,-20.68781903
1.559030000E-06,-34.30831309,-32.68669686,-31.18614396,-30.0800813,-29.25038135,-16.29976668,-17.43022549,-20.68238284
1.559030000E-06,-34.30760884,-32.68383314,-31.17412862,-30.07007012,-29.2440374,-16.27399153,-17.39983636,-20.65016309
1.559030000E-06,-34.30550668,-32.67732771,-31.16916322,-30.0566125,-29.23657888,-16.24221344,-17.32104578,-20.61027207
1.559030000E-06,-34.30496256,-32.67476866,-31.16430979,-30.02740258,-29.22473283,-16.18934185,-17.2852598,-20.54367963
1.559030000E-06,-34.30482535,-32.67127144,-31.15252115,-30.01509836,-29.21316898,-16.13530667,-17.22785452,-20.47544203
1.559030000E-06,-34.30479458,-32.66719751,-31.15086455,-30.00660063,-29.18784101,-16.01201422,-17.14838815,-20.31967444
1.559030000E-06,-34.30475157,-32.66659068,-31.14074399,-29.99932207,-29.16972987,-15.92034068,-17.13395878,-20.20393296
1.559030000E-06,-34.3047494,-32.66560821,-31.12979301,-29.98734113,-29.14728165,-15.80195139,-17.10457172,-20.05454279
1.559030000E-06,-34.30470495,-32.66405934,-31.1279473,-29.97520504,-29.12700907,-15.6905646,-17.04464376,-19.9141456
1.559030000E-06,-34.30449286,-32.66365587,-31.12567339,-29.97015635,-29.12054483,-15.65320673,-17.02353033,-19.86699565
1.559030000E-06,-34.30404224,-32.66358312,-31.12434524,-29.96383997,-29.11608203,-15.62580625,-17.01802758,-19.83228167
1.559030000E-06,-34.30383029,-32.66343153,-31.12300118,-29.95986541,-29.10448582,-15.55027833,-16.99991666,-19.73635023
1.559030000E-06,-34.30276573,-32.66334614,-31.12131484,-29.9589678,-29.09877311,-15.51075754,-16.98134798,-19.68604515
1.559030000E-06,-34.29975484,-32.66333229,-31.119005,-29.95530387,-29.08627408,-15.41883277,-16.97413492,-19.56885374
1.559030000E-06,-34.29884942,-32.66331233,-31.1185749,-29.9450766,-29.0836732,-15.39840032,-16.92242312,-19.54274901
1.559030000E-06,-34.29754765,-32.66331021,-31.11778046,-29.94363476,-29.05612718,-15.1697743,-16.83382142,-19.25131438
1.559030000E-06,-34.29412393,-32.66324877,-31.11565902,-29.94325806,-29.0537219,-15.14860903,-16.7657686,-19.22439234
1.559030000E-06,-34.29087297,-32.66310205,-31.11542733,-29.93941528,-29.04995559,-15.11265316,-16.71849813,-19.17848014
1.559030000E-06,-34.28909516,-32.66292691,-31.11535917,-29.93199589,-29.04591497,-15.0707261,-16.69225934,-19.12477444
1.559030000E-06,-34.28042248,-32.66271613,-31.11528581,-29.9283006,-29.04088539,-15.01387859,-16.67416084,-19.05178012
1.559030000E-06,-34.27589798,-32.66230381,-31.11505928,-29.92629166,-29.04030512,-15.00667354,-16.65134535,-19.04249584
1.559030000E-06,-34.26240308,-32.66172533,-31.1149987,-29.92622845,-29.03922933,-14.99185529,-16.62911075,-19.02330808
1.559030000E-06,-34.26122072,-32.66068597,-31.11493792,-29.92483006,-29.03687513,-14.95577762,-16.59987979,-18.97641185
1.559030000E-06,-34.2561737,-32.65799018,-31.11493776,-29.92330824,-29.03209518,-14.8743222,-16.54242123,-18.87037105
1.559030000E-06,-34.24897736,-32.65762315,-31.11493074,-29.92236221,-29.0306749,-14.84717765,-16.53629658,-18.83496973
1.559030000E-06,-34.24104893,-32.65123548,-31.11491199,-29.92203511,-29.02683054,-14.76408739,-16.45107237,-18.7264237
1.559030000E-06,-34.23535707,-32.64891728,-31.11459325,-29.92170757,-29.02534591,-14.72747767,-16.42591111,-18.67853435
1.559030000E-06,-34.22976111,-32.64511453,-31.11438244,-29.92057381,-29.0216298,-14.62200147,-16.39160418,-18.54049443
1.559030000E-06,-34.21766707,-32.64091074,-31.11434301,-29.92048144,-29.02019011,-14.57439017,-16.35967227,-18.47817771
1.559030000E-06,-34.20495333,-32.63872252,-31.11368969,-29.92046185,-29.01873487,-14.51711753,-16.34548547,-18.40308266
1.559030000E-06,-34.1630899,-32.62778415,-31.1132288,-29.92045231,-29.01743305,-14.45506797,-16.28451205,-18.32162483
1.559030000E-06,-34.04687458,-32.61892088,-31.11142529,-29.92045219,-29.01728357,-14.44618446,-16.24177211,-18.30992829
1.559030000E-06,-34.02670442,-32.61656114,-31.10935904,-29.92044867,-29.01663465,-14.39658708,-16.23180488,-18.24440806
1.559030000E-06,-33.99357534,-32.60934311,-31.10840387,-29.92036005,-29.01632343,-14.36487145,-16.20487514,-18.20240718
1.559030000E-06,-33.98746115,-32.60602436,-31.10612949,-29.92024431,-29.01611769,-14.33535209,-16.19387254,-18.16319093
1.559030000E-06,-33.97607337,-32.599765,-31.10238456,-29.92005741,-29.01601679,-14.31336745,-16.17531734,-18.13388225
1.559030000E-06,-33.93901171,-32.58640734,-31.09809094,-29.91994402,-29.01593099,-14.28153082,-16.13979745,-18.09129649
1.559030000E-06,-33.91046571,-32.56198793,-31.09160049,-29.91946324,-29.01588152,-14.24335873,-16.08143774,-18.04009841
1.559030000E-06,-33.86603677,-32.55198073,-31.08713274,-29.91722559,-29.01585784,-14.18397989,-16.05983018,-17.96033152
1.559030000E-06,-33.81977449,-32.52166233,-31.07468453,-29.91553759,-29.01585701,-14.12554482,-16.00043571,-17.88177357
1.559030000E-06,-33.8107904,-32.49780098,-31.07280659,-29.91502485,-29.0158474,-14.06593521,-15.95791533,-17.8015791
1.559030000E-06,-33.74845293,-32.49401736,-31.05797971,-29.91380516,-29.01579895,-14.00984119,-15.95174431,-17.72605475
1.559030000E-06,-33.71160451,-32.46840694,-31.03746047,-29.90876499,-29.01570646,-13.96665288,-15.91337799,-17.66782396
1.559030000E-06,-33.59308216,-32.44519496,-31.0213113,-29.90764274,-29.01563232,-13.94811175,-15.88137686,-17.64275247
1.559020000E-06,-33.53057139,-32.41439806,-31.01542456,-29.90600537,-29.01553544,-13.93304842,-15.84218733,-17.62230217
1.559020000E-06,-33.49609333,-32.35706701,-31.01126456,-29.90401782,-29.01525962,-13.90391477,-15.77470469,-17.58261021
1.559020000E-06,-33.41682817,-32.3448509,-31.00306405,-29.90021653,-29.01481252,-13.86988827,-15.76136422,-17.53612692
1.559020000E-06,-33.34884453,-32.32900915,-30.99502467,-29.89569298,-29.01445568,-13.84941842,-15.74526362,-17.50807824
1.559020000E-06,-33.3135185,-32.30420829,-30.97825771,-29.89285085,-29.01409185,-13.83311984,-15.72175411,-17.48566121
1.559020000E-06,-33.29500565,-32.27883027,-30.9754924,-29.88016452,-29.01126073,-13.73236302,-15.69926891,-17.34704714
1.559020000E-06,-33.24111436,-32.27089241,-30.97396304,-29.87436656,-29.01051545,-13.71085371,-15.69268434,-17.31745484
1.559020000E-06,-33.18879594,-32.25505912,-30.95466182,-29.87361977,-29.00928371,-13.68128795,-15.68036773,-17.27665301
1.559020000E-06,-33.04530989,-32.23526327,-30.94618106,-29.86968432,-29.00274305,-13.55038331,-15.66589906,-17.09631016
1.559020000E-06,-32.96082746,-32.18245132,-30.94377231,-29.85965201,-28.99895944,-13.48669079,-15.62952649,-17.00883589
1.559020000E-06,-32.8564273,-32.16597013,-30.93447454,-29.84110915,-28.99818395,-13.47544775,-15.618816,-16.99336297
1.559020000E-06,-32.8138567,-32.14731241,-30.92949124,-29.82284141,-28.99692704,-13.45952668,-15.60737299,-16.97136228
1.559020000E-06,-32.79163651,-32.13822492,-30.913114,-29.81886519,-28.99463541,-13.43399785,-15.60210795,-16.93596377
1.559020000E-06,-32.66446221,-32.09767927,-30.90876523,-29.81230677,-28.99339866,-13.42178934,-15.57986338,-16.91897474
1.559020000E-06,-32.49570554,-31.95658233,-30.89909418,-29.81182022,-28.98700416,-13.36567118,-15.50594347,-16.84071432
1.559020000E-06,-32.34377824,-31.92320394,-30.85269388,-29.79920364,-28.98650794,-13.36177423,-15.48923231,-16.83526604
1.559020000E-06,-32.32021218,-31.8697583,-30.82309809,-29.79768611,-28.98495068,-13.35072303,-15.46375081,-16.8197451
1.559020000E-06,-32.25115796,-31.82615939,-30.82156006,-29.76566215,-28.97756598,-13.30334757,-15.44392125,-16.75304254
1.559020000E-06,-32.16249167,-31.82263183,-30.80847175,-29.71853028,-28.96845341,-13.25048491,-15.44239397,-16.67857619
1.559020000E-06,-32.14123103,-31.77853127,-30.79326865,-29.70515436,-28.96448441,-13.22952931,-15.42419818,-16.64900502
1.559020000E-06,-32.01904343,-31.74607894,-30.74846691,-29.6668897,-28.95936625,-13.20477895,-15.41140192,-16.61397273
1.559020000E-06,-32.00327758,-31.64862046,-30.71521965,-29.64680826,-28.94942332,-13.16068469,-15.37450071,-16.55144219
